English,Español
part,parte
history,historia
search,buscar
only,solamente
police,policía
thought,pensamiento
help,ayuda
request,petición
kind,tipo
month,mes
brother,hermano
let,dejar
because,porque
to put,poner
no,No
leash,Correa
them,ellos
city,ciudad
each,cada
speak,hablar
come,venir
should,debería
baby,bebé
long time,largo tiempo
hours,horas
will,será
while,mientras
meet again,reunirse de nuevo
any,alguna
square,cuadrado
speak,hablar
understood,comprendido
knew,supo
were,fueron
Warning,Advertencia
here is,aquí está
could,pudo
case,caso
give,dar
type,escribe
their,su
given,dado
train,tren
body,cuerpo
place,sitio
eyes,ojos
way,camino
listen,escucha
whose,cuyo
find,encontrar
first,primero
lost,perdió
hand,mano
first,primero
side,lado
power,poder
old,viejo
be,ser
here,aquí
morning,Mañana
so much,tanto
child,niño
point,punto
came,llegó
after,después
sorry,perdón
come,venir
in front of,en frente de
towards,hacia
minutes,minutos
request,petición
bedroom,Cuarto
placed,metido
beautiful,hermosa
law,ley
would like to,gustaria
today,hoy dia
husband,marido
cause,causa
finally,finalmente
hope,esperanza
water,agua
Wait,Esperar
left,izquierda
new,nuevo
job,trabajo
Stop,Detener
would say,diría
Earth,tierra
account,cuenta
given,dado
far,lejos
end,fin
believe,creer
sweetheart,cariño
large,grande
rather,bastante
will have,tendrá
girls,muchachas
to play,jugar
office,oficina
