English,Español
part,parte
search,buscar
police,policía
thought,pensamiento
help,ayuda
request,petición
kind,tipo
month,mes
let,dejar
because,porque
to put,poner
no,No
city,ciudad
each,cada
speak,hablar
should,debería
baby,bebé
long time,largo tiempo
hours,horas
while,mientras
any,alguna
square,cuadrado
speak,hablar
understood,comprendido
knew,supo
were,fueron
Warning,Advertencia
here is,aquí está
could,pudo
case,caso
give,dar
type,escribe
given,dado
train,tren
place,sitio
eyes,ojos
lost,perdió
hand,mano
power,poder
old,viejo
be,ser
here,aquí
morning,Mañana
so much,tanto
child,niño
came,llegó
after,después
sorry,perdón
in front of,en frente de
towards,hacia
request,petición
placed,metido
beautiful,hermosa
law,ley
would like to,gustaria
today,hoy dia
cause,causa
finally,finalmente
hope,esperanza
water,agua
Wait,Esperar
new,nuevo
Stop,Detener
given,dado
far,lejos
end,fin
believe,creer
sweetheart,cariño
large,grande
will have,tendrá
girls,muchachas
to play,jugar
office,oficina
